"classe","codigo","vm","gc","lc","roe","divbr_pl","ll","ll_cresc","p_vpa","pl","ret_anual"
"ON","CPRE3",6922757.81383333,TRUE,0.903311542466667,0.697457268425,153.08888306,FALSE,FALSE,1.70347956076667,279.527938826333,5.35857151444994
"ON","CGAS3",6804865.2195,FALSE,1.29918044096667,30.6917851345,196.91381602,TRUE,FALSE,2.97230677753333,9.34439813696667,17.757850134007
"ON","GRND3",6804181.63333333,TRUE,8.73484777796667,19.94797022,4.16185336035,TRUE,TRUE,2.174189232,10.6378910292333,6.01553445779532
"ON","SMTO3",6674781.82616667,TRUE,2.1254175127,14.1857897565,125.814485595,TRUE,TRUE,2.08215991016667,19.047952996,18.7475676626353
"ON","WHRL3",6492121.93666667,FALSE,1.23325305156667,16.807013892,6.20655883245,TRUE,TRUE,2.73576069903333,16.9279913636667,15.9484006198652
"ON","QUAL3",6387442.20293333,TRUE,1.9554827646,17.2151829415,27.0728919455,TRUE,FALSE,2.8693935397,16.4681908696667,5.74461110912892
"ON","GUAR3",6373518.32,FALSE,1.7598190396,13.4625356165,38.4796706205,TRUE,FALSE,1.6858793114,13.853508508,7.37409908660953
"ON","DTEX3",6045431.44666667,TRUE,2.49688426816667,5.6153093477,63.571917628,TRUE,FALSE,1.26445264633333,83.2169778813333,0.904026058436336
"ON","ALPA3",6010633.991,TRUE,2.2246939045,13.3621843205,30.2210201665,TRUE,TRUE,2.80220690116667,18.5514163666667,7.33647479878714
"ON","CPLE3",5921048.38146667,TRUE,0.832613839696667,7.44327943155,63.1608498285,TRUE,FALSE,0.348520854846667,5.10509184173333,3.19602894583142
"ON","MRVE3",5766575.51333333,TRUE,2.57906131726667,12.660833052,56.700084753,TRUE,TRUE,1.05661860732,9.00992774696667,15.7349489387262
"ON","IGTA3",5683875.30116667,TRUE,1.9731653485,8.12742247485,77.1709904125,TRUE,FALSE,2.04793092456667,28.1957674623333,8.05912784234395
"ON","ALUP3",5665328.65726667,FALSE,1.88527121973333,12.476674405,79.202125656,TRUE,TRUE,1.78851127993333,18.4866644996667,NA
"ON","GOAU3",5615637.45546667,TRUE,2.1916715692,-1.17525478292,74.2488583205,FALSE,TRUE,0.59109603923,-29.6354329047667,-15.4546694681861
"ON","CVCB3",5484958.9706,TRUE,1.1972006429,28.6138130265,118.486658655,TRUE,TRUE,6.85478496806667,23.892758243,NA
"ON","MPLU3",5309126.05146667,TRUE,1.07596330636667,216.61971177,0,TRUE,TRUE,23.0944544923333,10.9238009136667,12.2472102410024
"ON","CEEB3",5299476.7925,FALSE,0.881192819863333,5.8866742351,160.501250765,TRUE,FALSE,1.48154017443333,21.1921427393333,-2.0093308588625
"ON","SAPR3",5259985.33416667,FALSE,1.10092496878667,13.9599877715,52.777776118,TRUE,TRUE,1.082722405005,7.80271759675,NA
"ON","ECOR3",5204811.98666667,TRUE,1.10478012407667,59.3385135705,866.518699635,FALSE,FALSE,8.77153904903333,7.3795110983,-7.91577372822834
"ON","CSMG3",5156453.88666667,TRUE,1.32141838333333,9.1926107931,51.4815844005,TRUE,TRUE,0.844733646323333,9.79879254363333,11.6858540598433
"ON","TIET3",4928643.78666667,FALSE,1.12814535921,16.7896443645,244.64479035,TRUE,FALSE,3.22530710683333,17.245606759,NA
"ON","CESP3",4548628.05546667,TRUE,1.09578724444333,-0.85329304143,4.98187158505,FALSE,FALSE,0.560937173036667,27.466366103,4.95592875310442
"ON","CYRE3",4448083.98,TRUE,3.03978125493333,0.22641415151,40.670295371,FALSE,FALSE,0.76920815831,-47.5091701673333,-4.07445964021749
"ON","TOTS3",4435130.27083333,TRUE,1.6383640441,7.348668707,48.465407801,TRUE,FALSE,3.49597362396667,41.647259397,-3.35959790467595
"ON","CELP3",4360131.3282,FALSE,1.592821665,23.419057298,129.246147375,TRUE,FALSE,1.82300015136667,9.18804512756667,25.8631233352207
"ON","ENMA3B",4359082.51846667,FALSE,1.87709974986667,20.793804972,111.14265978,TRUE,TRUE,1.84162202233333,9.24125363723333,22.9399466974275
"ON","MRFG3",3955276.63266667,TRUE,1.33340657463333,-21.783352484,620.336918455,FALSE,FALSE,3.9324652648,-6.35742010266667,1.2645401146121
"ON","CBEE3",3954514.42,FALSE,0.873557704696667,0.2018392144,99.480063954,FALSE,FALSE,1.37363172081667,-7.103668938,NA
"ON","SEDU3",3852779.53186667,TRUE,1.5574954426,4.68000857415,224.078088565,FALSE,TRUE,4.5329381611,130.304168135333,NA
"ON","ABRE11+SEDU3",3852779.53186667,FALSE,1.5574954426,4.68000857415,224.078088565,FALSE,TRUE,4.5329381611,130.304168135333,16.9927679717419
